statistic,cue,band,width_ms,family,value,ci_low,ci_high
M,trajectory,20-39 ms,60,S,0.52,,
M,trajectory,20-39 ms,160,S,0.4266,,
M,trajectory,20-39 ms,0,A,0.8048,,
M,trajectory,20-39 ms,20,A,0.6442,,
M,trajectory,20-39 ms,60,A,0.5465,,
M,trajectory,20-39 ms,160,A,0.4068,,
R,codec,M_near,shape,C,+0.005,,
R,codec,M_total,shape,C,+0.047,,
R,codec,M_near,shape,D,+0.299,,
R,codec,M_total,shape,D,+0.944,,
R,codec,M_near,shape,S,+0.257,,
R,codec,M_total,shape,S,+0.896,,
R,codec,M_near,shape,A,+0.271,,
R,codec,M_total,shape,A,+0.728,,
E,codec,M_near,shape,C,+0.047,,
E,codec,M_total,shape,C,+0.154,,
E,codec,M_near,shape,D,+0.576,,
E,codec,M_total,shape,D,+2.274,,
E,codec,M_near,shape,S,+0.546,,
E,codec,M_total,shape,S,+2.089,,
E,codec,M_near,shape,A,+0.556,,
E,codec,M_total,shape,A,+1.842,,
R,trajectory,M_near,shape,C,+0.064,,
R,trajectory,M_total,shape,C,+0.127,,
R,trajectory,M_near,shape,D,+0.055,,
R,trajectory,M_total,shape,D,+0.370,,
R,trajectory,M_near,shape,S,+0.060,,
R,trajectory,M_total,shape,S,+0.176,,
R,trajectory,M_near,shape,A,+0.055,,
R,trajectory,M_total,shape,A,+0.163,,
E,trajectory,M_near,shape,C,+0.056,,
E,trajectory,M_total,shape,C,+0.420,,
E,trajectory,M_near,shape,D,+0.522,,
E,trajectory,M_total,shape,D,+3.637,,
E,trajectory,M_near,shape,S,+0.435,,
E,trajectory,M_total,shape,S,+3.070,,
E,trajectory,M_near,shape,A,+0.427,,
E,trajectory,M_total,shape,A,+2.719,,
